outcome	AP	CAD	IHD	MI	UA
AP	1	0.563031055502497	0.575655387824769	0.443737629645735	0.505386960353584
CAD	0.563031055502497	1	0.941802490164432	0.564541531076931	0.422465223934658
IHD	0.575655387824769	0.941802490164432	1	0.567842561363347	0.416023678229664
MI	0.443737629645735	0.564541531076931	0.567842561363347	1	0.401130091398719
UA	0.505386960353584	0.422465223934658	0.416023678229664	0.401130091398719	1
